CountryId,Year,Happiness Rank,Happiness Score,Family,Health (Life Expectancy),Economy (GDP per Capita),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual
136,2015,136,4.077,0.68093,0.40064,0.54649,0.35571,0.09131,0.07854,1.92313
137,2015,137,4.033,0.8604,0.16683,0.75778,0.10384,0.12344,0.07122,1.94939
138,2015,138,3.995,1.03526,0.20583,0.26074,0.38857,0.18798,0.12352,1.79293
139,2015,139,3.989,0.6629,0.31051,0.67866,0.41466,0.12388,0.11686,1.68135
140,2015,140,3.956,0.79273,0.36315,0.23906,0.22917,0.17441,0.199,1.95812
141,2015,141,3.931,1.13299,0.33861,0.21102,0.45727,0.29066,0.07267,1.42766
142,2015,142,3.904,0.97619,0.4354,0.36498,0.36772,0.20843,0.10713,1.44395
143,2015,143,3.896,0.90528,0.43372,1.06024,0.31914,0.06822,0.11091,0.99895
144,2015,144,3.845,0.77265,0.29707,0.0694,0.47692,0.19387,0.15639,1.87877
145,2015,145,3.819,0.62736,0.61114,0.46038,0.66246,0.40359,0.07247,0.98195
146,2015,146,3.781,1.00268,0.38215,0.2852,0.32878,0.34377,0.05747,1.38079
147,2015,147,3.681,0.66801,0.46721,0.20824,0.19184,0.21333,0.08124,1.851
148,2015,148,3.678,0,0.06699,0.0785,0.48879,0.23835,0.08289,2.7223
149,2015,149,3.667,0.76062,0.1501,0.34193,0.23501,0.18386,0.05269,1.94296
150,2015,150,3.656,0.46475,0.24009,0.17417,0.37725,0.28657,0.12139,1.99172
151,2015,151,3.655,0.77115,0.15185,0.46534,0.46866,0.20165,0.17922,1.41723
152,2015,152,3.587,0.85188,0.27125,0.25812,0.39493,0.21747,0.12832,1.46494
153,2015,153,3.575,0.30285,0.30335,0.31982,0.23414,0.3651,0.09719,1.9521
154,2015,154,3.465,0.7737,0.42864,0.22208,0.59201,0.22628,0.55191,0.67042
155,2015,155,3.34,0.35386,0.3191,0.28665,0.4845,0.1826,0.0801,1.63328
156,2015,156,3.006,0.47489,0.72193,0.6632,0.15684,0.47179,0.18906,0.32858
157,2015,157,2.905,0.41587,0.22396,0.0153,0.1185,0.19727,0.10062,1.83302
158,2015,158,2.839,0.13995,0.28443,0.20868,0.36453,0.16681,0.10731,1.56726
